datetime_collected,status,primary_source,collection_mode,total_duration,carbon_emissions,price,type,target_date,airline,flight_number,airplane,travel_class,departure_airport,departure_time,arrival_airport,arrival_time,leg_duration
2026-09-02,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",2900,One way,,Cebu Pacific,5J 479,Airbus A321neo,Economy,MNL,2026-09-03 21:50,BCD,2026-09-03 23:15,85
2026-09-02,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",3236,One way,,Cebu Pacific,5J 477,Airbus A321neo,Economy,MNL,2026-09-03 15:50,BCD,2026-09-03 17:15,85
2026-09-02,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",3292,One way,,Philippines AirAsia,Z2 605,Airbus A320,Economy,MNL,2026-09-03 20:50,BCD,2026-09-03 22:05,75
2026-09-02,success,True,rolling,80,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",3684,One way,,Cebu Pacific,5J 485,Airbus A321neo,Economy,MNL,2026-09-03 07:55,BCD,2026-09-03 09:15,80
2026-09-02,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",3684,One way,,Cebu Pacific,5J 487,Airbus A321neo,Economy,MNL,2026-09-03 15:10,BCD,2026-09-03 16:35,85
2026-09-02,success,True,rolling,85,"{'this_flight': 61000, 'typical_for_this_route': 52000, 'difference_percent': 17}",3684,One way,,Cebu Pacific,5J 471,Airbus A321,Economy,MNL,2026-09-03 20:15,BCD,2026-09-03 21:40,85
2026-09-02,success,True,rolling,80,"{'this_flight': 61000, 'typical_for_this_route': 52000, 'difference_percent': 17}",3684,One way,,Cebu Pacific,5J 475,Airbus A321,Economy,MNL,2026-09-03 21:25,BCD,2026-09-03 22:45,80
2026-09-02,success,True,rolling,70,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",3699,One way,,Philippines AirAsia,Z2 603,Airbus A320,Economy,MNL,2026-09-03 03:00,BCD,2026-09-03 04:10,70
2026-09-02,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",4188,One way,,Cebu Pacific,5J 2381,Airbus A321neo,Economy,MNL,2026-09-03 05:25,BCD,2026-09-03 06:50,85
2026-09-02,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4299,One way,,Philippine Airlines,PR 2133,Airbus A320,Economy,MNL,2026-09-03 13:35,BCD,2026-09-03 14:50,75
2026-09-02,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4299,One way,,Philippine Airlines,PR 2135,Airbus A320,Economy,MNL,2026-09-03 16:20,BCD,2026-09-03 17:35,75
