datetime_collected,status,primary_source,collection_mode,hotel_name,lowest_rate,check_in,check_out,target_date,price_php
2026-09-02,success,True,rolling,North Tourist Inn,"₱1,211",2026-09-03,2026-09-04,,1211.0
2026-09-02,success,True,rolling,AVENUE SUITES HOTEL,"₱1,913",2026-09-03,2026-09-04,,1913.0
2026-09-02,success,True,rolling,UrbanView @ Lacson Street Bacolod City by RedDoorz,"₱1,249",2026-09-03,2026-09-04,,1249.0
2026-09-02,success,True,rolling,L'Fisher Hotel,"₱3,387",2026-09-03,2026-09-04,,3387.0
2026-09-02,success,True,rolling,Park Inn by Radisson Bacolod,"₱5,547",2026-09-03,2026-09-04,,5547.0
2026-09-02,success,True,rolling,Go Hotels Plus Bacolod,"₱1,999",2026-09-03,2026-09-04,,1999.0
2026-09-02,success,True,rolling,Circle Inn - Hotel & Suites (Bacolod),"₱1,610",2026-09-03,2026-09-04,,1610.0
2026-09-02,success,True,rolling,GT Hotel Bacolod,"₱2,445",2026-09-03,2026-09-04,,2445.0
2026-09-02,success,True,rolling,Bacolod Business Inn,"₱1,770",2026-09-03,2026-09-04,,1770.0
2026-09-02,success,True,rolling,MO2 Westown Hotel,"₱1,950",2026-09-03,2026-09-04,,1950.0
2026-09-02,success,True,rolling,Acacia Hotel Bacolod,"₱2,757",2026-09-03,2026-09-04,,2757.0
2026-09-02,success,True,rolling,Sanctuary Transient House,"₱1,078",2026-09-03,2026-09-04,,1078.0
2026-09-02,success,True,rolling,Kasa Boutique Hotel Bacolod,"₱1,171",2026-09-03,2026-09-04,,1171.0
2026-09-02,success,True,rolling,The Henry Hotel Roost Bacolod,"₱3,733",2026-09-03,2026-09-04,,3733.0
2026-09-02,success,True,rolling,Sukro,"₱1,563",2026-09-03,2026-09-04,,1563.0
2026-09-02,success,True,rolling,Ong Bun Pension House – Bacolod,₱772,2026-09-03,2026-09-04,,772.0
2026-09-02,success,True,rolling,25th Residences,"₱1,451",2026-09-03,2026-09-04,,1451.0
2026-09-02,success,True,rolling,Planta Hotel & Residences,"₱1,622",2026-09-03,2026-09-04,,1622.0
2026-09-02,success,True,rolling,Unit 711 at Cityscapes,"₱1,505",2026-09-03,2026-09-04,,1505.0
2026-09-02,success,True,rolling,Studio Type Condo with Pool & Garden Facilities,"₱1,475",2026-09-03,2026-09-04,,1475.0
2026-09-02,success,True,festival_target,Seda Capitol Central,"₱4,265",2026-10-09,2026-10-13,2026-10-09,4265.0
2026-09-02,success,True,festival_target,Go Hotels Plus Bacolod,"₱1,573",2026-10-09,2026-10-13,2026-10-09,1573.0
2026-09-02,success,True,festival_target,Park Inn by Radisson Bacolod,"₱6,291",2026-10-09,2026-10-13,2026-10-09,6291.0
2026-09-02,success,True,festival_target,L'Fisher Hotel,"₱3,893",2026-10-09,2026-10-13,2026-10-09,3893.0
2026-09-02,success,True,festival_target,AVENUE SUITES HOTEL,"₱1,941",2026-10-09,2026-10-13,2026-10-09,1941.0
2026-09-02,success,True,festival_target,Sukro,"₱1,531",2026-10-09,2026-10-13,2026-10-09,1531.0
2026-09-02,success,True,festival_target,Circle Inn - Hotel & Suites (Bacolod),"₱1,925",2026-10-09,2026-10-13,2026-10-09,1925.0
2026-09-02,success,True,festival_target,Citadines Bacolod City,"₱4,395",2026-10-09,2026-10-13,2026-10-09,4395.0
2026-09-02,success,True,festival_target,Sanctuary Transient House,₱784,2026-10-09,2026-10-13,2026-10-09,784.0
2026-09-02,success,True,festival_target,LOPEZ LUX @Mesavirre Bacolod,"₱1,818",2026-10-09,2026-10-13,2026-10-09,1818.0
2026-09-02,success,True,festival_target,UrbanView @ Lacson Street Bacolod City by RedDoorz,₱881,2026-10-09,2026-10-13,2026-10-09,881.0
2026-09-02,success,True,festival_target,Hometown Hotel Bacolod - Lacson,₱940,2026-10-09,2026-10-13,2026-10-09,940.0
2026-09-02,success,True,festival_target,Suntal Residences,"₱1,262",2026-10-09,2026-10-13,2026-10-09,1262.0
2026-09-02,success,True,festival_target,The Henry Hotel Roost Bacolod,"₱2,838",2026-10-09,2026-10-13,2026-10-09,2838.0
2026-09-02,success,True,festival_target,Goldenfield Kundutel Hotel,"₱1,811",2026-10-09,2026-10-13,2026-10-09,1811.0
2026-09-02,success,True,festival_target,Bacolod Business Inn,"₱1,605",2026-10-09,2026-10-13,2026-10-09,1605.0
2026-09-02,success,True,festival_target,Palmas del Mar Conference Resort Hotel,"₱4,018",2026-10-09,2026-10-13,2026-10-09,4018.0
2026-09-02,success,True,festival_target,Acacia Hotel Bacolod,"₱2,464",2026-10-09,2026-10-13,2026-10-09,2464.0
2026-09-02,success,True,festival_target,Unit 711 at Cityscapes,"₱1,505",2026-10-09,2026-10-13,2026-10-09,1505.0
2026-09-02,success,True,festival_target,Donser Studio,"₱1,471",2026-10-09,2026-10-13,2026-10-09,1471.0
2026-09-03,success,True,rolling,Park Inn by Radisson Bacolod,"₱5,544",2026-09-04,2026-09-05,,5544.0
2026-09-03,success,True,rolling,WESTOWN HOTEL MANDALAGAN,"₱1,520",2026-09-04,2026-09-05,,1520.0
2026-09-03,success,True,rolling,L'Fisher Hotel,"₱3,671",2026-09-04,2026-09-05,,3671.0
2026-09-03,success,True,rolling,Central Block Inn,"₱1,733",2026-09-04,2026-09-05,,1733.0
2026-09-03,success,True,rolling,AVENUE SUITES HOTEL,"₱1,788",2026-09-04,2026-09-05,,1788.0
2026-09-03,success,True,rolling,Stonehill Suites,"₱3,198",2026-09-04,2026-09-05,,3198.0
2026-09-03,success,True,rolling,Planta Hotel & Residences,"₱1,494",2026-09-04,2026-09-05,,1494.0
2026-09-03,success,True,rolling,Bacolod Business Inn,"₱1,475",2026-09-04,2026-09-05,,1475.0
2026-09-03,success,True,rolling,Sukro,"₱1,377",2026-09-04,2026-09-05,,1377.0
