date_collected,trend_search_score,flight_fest_min_price,flight_fest_max_price,flight_fest_median_price,flight_fest_mean_price,flight_fest_quote_count,flight_rolling_min_price,flight_rolling_max_price,flight_rolling_median_price,flight_rolling_mean_price,flight_rolling_quote_count,hotel_fest_min_price,hotel_fest_max_price,hotel_fest_median_price,hotel_fest_mean_price,hotel_fest_quote_count,hotel_rolling_min_price,hotel_rolling_max_price,hotel_rolling_median_price,hotel_rolling_mean_price,hotel_rolling_quote_count,flight_price_premium,hotel_price_premium,trend_velocity_7d,trend_score_lag_1d,trend_score_lag_2d,trend_score_lag_3d,flight_median_change_1d,hotel_median_change_1d,days_to_festival
2026-09-02,82,1936,2731,2234.0,2317.230769230769,13,2900,5643,3684.0,3908.846153846154,13,784,6291,1814.5,2360.55,20,772,5547,1616.0,2010.4,20,0.6064060803474485,1.1228341584158417,,,,,,,37
2026-09-03,49,1913,2731,2396.0,2316.153846153846,13,4076,9900,4524.0,5125.0,12,784,6246,1652.5,2217.2,20,1079,5544,1760.5,2142.45,20,0.5296198054818745,0.9386537915364953,,82.0,,,162.0,-162.0,36
2026-09-04,41,1913,3684,2396.0,2352.769230769231,26,2900,9900,4299.0,4748.0,21,784,6300,2204.5,2629.4736842105262,38,735,4661,1714.0,2097.325,40,0.557338916026983,1.2861726954492416,,49.0,82.0,,0.0,552.0,35
2026-09-05,36,1913,3684,2396.0,2441.076923076923,13,2564,5196,4188.0,3831.3636363636365,11,784,6300,1896.5,2369.95,20,868,4706,2064.0,2397.4,20,0.5721107927411653,0.9188468992248062,,41.0,49.0,82.0,0.0,-308.0,34
2026-09-06,47,1913,3684,2396.0,2441.076923076923,13,2564,6708,3684.0,4041.3,10,940,6300,1841.0,2388.35,20,1249,5800,1848.5,2358.95,20,0.6503800217155266,0.995942656207736,,36.0,41.0,49.0,0.0,-55.5,33
2026-09-07,46,1913,3963,2396.0,2510.0,13,2383,4971,3236.0,3408.0,10,706,6300,1935.5,2434.75,20,1009,5800,1597.0,2046.45,20,0.7404202719406675,1.2119599248591109,,47.0,36.0,41.0,0.0,94.5,32
2026-09-08,52,1934,3963,2396.0,2539.076923076923,13,2564,4971,3264.0,3409.3,10,1148,7402,1734.5,2332.65,20,973,5785,1746.0,2231.25,20,0.7340686274509803,0.9934135166093929,,46.0,47.0,36.0,0.0,-201.0,31
2026-09-09,52,1934,4859,2396.0,2721.5384615384614,13,2396,4971,3264.0,3448.5,10,860,7402,1841.0,2436.6,20,750,5687,1911.0,2369.95,20,0.7340686274509803,0.9633699633699634,-0.36585365853658536,52.0,46.0,47.0,0.0,106.5,30
2026-09-10,50,1934,4859,2457.0,2734.3846153846152,13,2564,6260,3627.0,3988.5555555555557,9,1150,7403,2053.0,2696.65,20,950,5300,1861.5,2386.85,20,0.6774193548387096,1.1028740263228578,0.020408163265306145,52.0,52.0,46.0,61.0,212.0,29
2026-09-11,54,1913,4859,2564.0,2778.769230769231,13,2564,4971,3593.0,3575.9,10,784,7393,2002.5,2523.45,20,661,4764,1553.0,1747.6,20,0.713609796827164,1.2894397939471989,0.3170731707317074,50.0,52.0,52.0,107.0,-50.5,28
2026-09-12,54,1913,4187,2564.0,2752.923076923077,13,2564,4971,3319.5,3578.5,10,784,7398,1733.5,2317.25,20,873,4697,1661.5,2185.7,20,0.7724054827534267,1.0433343364429732,0.5,54.0,50.0,52.0,0.0,-269.0,27
2026-09-13,45,1913,4188,2564.0,2804.6153846153848,13,2564,6708,3403.0,4013.5555555555557,9,728,7403,1885.0,2408.25,20,1010,5496,1661.5,2062.5,20,0.7534528357331766,1.134517002708396,-0.04255319148936165,54.0,54.0,50.0,0.0,151.5,26
2026-09-14,46,1915,4187,2620.0,2788.076923076923,13,2620,4971,3403.0,3677.4444444444443,9,784,7403,1836.5,2251.25,20,661,4900,1732.5,2330.85,20,0.7699089039083162,1.06002886002886,0.0,45.0,54.0,54.0,56.0,-48.5,25
2026-09-15,50,1990,4486,2695.0,2915.6923076923076,13,3703,7623,4262.5,5111.5,8,784,7401,2115.5,2657.9,20,866,5800,1687.0,2128.25,20,0.632258064516129,1.2540011855364552,-0.038461538461538436,46.0,45.0,54.0,75.0,279.0,24
2026-09-16,56,1990,4151,2695.0,2803.6923076923076,13,2695,3703,3366.0,3221.1,10,1255,7402,1828.5,2455.3,20,866,5800,1541.0,2178.8,20,0.8006535947712419,1.1865671641791045,0.07692307692307687,50.0,46.0,45.0,0.0,-287.0,23
2026-09-17,45,1979,4486,2695.0,2949.769230769231,13,3031,7623,3926.0,4594.111111111111,9,784,7400,1968.5,2602.6,20,815,5548,1870.0,2493.9,20,0.6864493122771268,1.052673796791444,-0.09999999999999998,56.0,50.0,46.0,0.0,140.0,22
